member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
gen=39_member=1460_pso,baseline,1.0,114.67875523336967,4.129798933537644,lpr:total_combined:bdpl,4.470201066462356
gen=31_member=1164_pso,baseline,1.0,113.65077363831176,3.6024442111645083,lpr:total_combined:bdpl,4.997555788835491
28,baseline,1.0,116.5076897050899,5.092127270272521,lpr:total_combined:bdpl,3.5078727297274783
gen=44_member=1663_pso,baseline,1.0,115.00341276495766,4.308033049262437,lpr:total_combined:bdpl,4.291966950737563
gen=30_member=1124_pso,baseline,1.0,115.67987000348484,4.694559772388086,lpr:total_combined:bdpl,3.905440227611914
gen=23_member=839_pso,baseline,1.0,112.93738525123864,3.261944231997628,lpr:total_combined:bdpl,5.338055768002372
gen=41_member=1550_pso,baseline,1.0,114.9131170450644,4.265129687334421,lpr:total_combined:bdpl,4.334870312665578
gen=35_member=1312_pso,baseline,1.0,115.57060657679752,4.625079713694661,lpr:total_combined:bdpl,3.9749202863053386
gen=47_member=1759_pso,baseline,1.0,114.14872010572448,3.847478930198487,lpr:total_combined:bdpl,4.752521069801513
gen=19_member=704_pso,baseline,1.0,112.80006038019113,3.210551468068203,lpr:total_combined:bdpl,5.389448531931796
gen=10_member=348_pso,baseline,1.0,115.39375906108506,4.544451356855489,lpr:total_combined:bdpl,4.055548643144511
gen=26_member=959_pso,baseline,1.0,116.17180008980091,4.9613904169895635,lpr:total_combined:bdpl,3.638609583010436
gen=22_member=807_pso,baseline,1.0,115.04037934481653,4.3343034820495205,lpr:total_combined:bdpl,4.265696517950479
gen=31_member=1158_pso,baseline,1.0,114.42277232160158,3.9926078819920074,lpr:total_combined:bdpl,4.607392118007992
gen=28_member=1048_pso,baseline,1.0,111.59906044698201,2.8217018027152267,lpr:total_combined:bdpl,5.778298197284773
gen=41_member=1534_pso,baseline,1.0,111.30531069752391,2.7243715891250573,lpr:total_combined:bdpl,5.875628410874942
gen=48_member=1793_pso,baseline,1.0,110.50614743796157,2.4897723465156587,lpr:total_combined:bdpl,6.1102276534843405
gen=36_member=1364_pso,baseline,1.0,114.39014814578641,3.983532417814411,lpr:total_combined:bdpl,4.616467582185589
gen=47_member=1757_pso,baseline,1.0,114.77163239999987,4.178239830950575,lpr:total_combined:bdpl,4.421760169049425
gen=18_member=683_pso,baseline,1.0,115.74791713726916,4.723031256799589,lpr:total_combined:bdpl,3.8769687432004103
gen=17_member=644_pso,baseline,1.0,112.47541457236228,3.072791214591536,lpr:total_combined:bdpl,5.5272087854084635
gen=48_member=1815_pso,baseline,1.0,115.92222740261694,4.822092868238054,lpr:total_combined:bdpl,3.7779071317619453
gen=28_member=1060_pso,baseline,1.0,114.71810771192585,4.150157220469265,lpr:total_combined:bdpl,4.4498427795307345
gen=38_member=1428_pso,baseline,1.0,116.19854689588612,4.97964526183749,lpr:total_combined:bdpl,3.6203547381625096
gen=31_member=1160_pso,baseline,1.0,114.01049469179053,3.7735061280056654,lpr:total_combined:bdpl,4.826493871994334
gen=13_member=469_pso,baseline,1.0,114.5886837646402,4.081986671648481,lpr:total_combined:bdpl,4.518013328351518
gen=28_member=1030_pso,baseline,1.0,116.40601051931519,5.0909985138198195,lpr:total_combined:bdpl,3.50900148618018
gen=37_member=1392_pso,baseline,1.0,112.94121111026442,3.299083094652743,lpr:total_combined:bdpl,5.300916905347257
gen=31_member=1151_pso,baseline,1.0,114.36927343737153,3.9650706187657048,lpr:total_combined:bdpl,4.634929381234295
gen=33_member=1241_pso,baseline,1.0,115.46001497469747,4.569391461153223,lpr:total_combined:bdpl,4.030608538846777
gen=31_member=1153_pso,baseline,1.0,115.75908643150986,4.730137086836816,lpr:total_combined:bdpl,3.8698629131631836
gen=37_member=1398_pso,baseline,1.0,114.80961470591932,4.204534124546895,lpr:total_combined:bdpl,4.395465875453104
gen=34_member=1267_pso,baseline,1.0,113.25726362174807,3.415553498949301,lpr:total_combined:bdpl,5.184446501050699
gen=41_member=1526_pso,baseline,1.0,112.0513942114105,2.9357923336424334,lpr:total_combined:bdpl,5.664207666357566
gen=38_member=1432_pso,baseline,1.0,112.39703895327425,3.0499611328173164,lpr:total_combined:bdpl,5.550038867182684
gen=39_member=1474_pso,baseline,1.0,115.02288554317028,4.317912339049638,lpr:total_combined:bdpl,4.282087660950362
gen=32_member=1207_pso,baseline,1.0,115.95262440006191,4.842004164760602,lpr:total_combined:bdpl,3.757995835239398
gen=34_member=1258_pso,baseline,1.0,111.96462977354737,2.9171726330036307,lpr:total_combined:bdpl,5.682827366996369
gen=49_member=1833_pso,baseline,1.0,115.27040513265263,4.457068453906641,lpr:total_combined:bdpl,4.142931546093359
