member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
gen=42_member=7127_pso,50,storage_zminus_2p00,,,0.8,0.096,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.949975520292195,5.650024479707804,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=46_member=7815_pso,50,storage_zminus_2p00,,,0.8,0.096,30.2096748,30.209600453547942,108.82212965354798,1.82093,2.1358944228998933,6.464105577100106,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6988_pso,50,storage_zminus_2p00,,,0.8,0.096,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.7665233274562488,6.833476672543751,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6630_pso,50,storage_zminus_2p00,,,0.8,0.096,32.2866164,32.28667995166453,110.89920915166454,2.28023,2.6407235060405085,5.959276493959491,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=46_member=7750_pso,50,storage_zminus_2p00,,,0.8,0.096,33.3573932,33.35737322320111,111.9699024232011,2.61481,3.015148825959151,5.584851174040849,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=8066_pso,50,storage_zminus_2p00,,,0.8,0.096,36.1452896,36.14526258672567,114.75779178672568,3.76811,4.255046442752699,4.344953557247301,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=49_member=8375_pso,50,storage_zminus_2p00,,,0.8,0.096,33.014504,33.01442462041577,111.62695382041578,2.48535,2.8666247787249755,5.733375221275024,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8129_pso,50,storage_zminus_2p00,,,0.8,0.096,36.6334444,36.63353389800296,115.24606309800296,4.0627,4.566579937258661,4.033420062741339,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6585_pso,50,storage_zminus_2p00,,,0.8,0.096,34.7828676,34.78292178056862,113.3954509805686,3.109,3.549401493989813,5.050598506010187,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=8011_pso,50,storage_zminus_2p00,,,0.8,0.096,35.1213008,35.12122980345115,113.73375900345114,3.26403,3.721265036984093,4.878734963015907,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
