child,parent_1,parent_2,parent_3
GEN=3_MEMBER=358_PSO,GEN=2_MEMBER=238_PSO,,
GEN=3_MEMBER=359_PSO,GEN=2_MEMBER=212_PSO,,
GEN=3_MEMBER=360_PSO,GEN=2_MEMBER=251_PSO,,
GEN=3_MEMBER=361_PSO,GEN=2_MEMBER=298_PSO,,
GEN=3_MEMBER=362_PSO,95,,
GEN=3_MEMBER=363_PSO,GEN=2_MEMBER=181_PSO,,
GEN=3_MEMBER=364_PSO,GEN=2_MEMBER=289_PSO,,
GEN=3_MEMBER=365_PSO,GEN=2_MEMBER=267_PSO,,
GEN=3_MEMBER=366_PSO,156,,
GEN=3_MEMBER=367_PSO,68,,
GEN=3_MEMBER=368_PSO,10,,
GEN=3_MEMBER=369_PSO,121,,
GEN=3_MEMBER=370_PSO,GEN=2_MEMBER=343_PSO,,
GEN=3_MEMBER=371_PSO,GEN=2_MEMBER=242_PSO,,
GEN=3_MEMBER=372_PSO,116,,
GEN=3_MEMBER=373_PSO,131,,
GEN=3_MEMBER=374_PSO,GEN=2_MEMBER=220_PSO,,
GEN=3_MEMBER=375_PSO,GEN=2_MEMBER=180_PSO,,
GEN=3_MEMBER=376_PSO,GEN=2_MEMBER=201_PSO,,
GEN=3_MEMBER=377_PSO,GEN=2_MEMBER=231_PSO,,
GEN=3_MEMBER=378_PSO,GEN=2_MEMBER=287_PSO,,
GEN=3_MEMBER=379_PSO,GEN=2_MEMBER=226_PSO,,
GEN=3_MEMBER=380_PSO,GEN=1_MEMBER=128_PSO,,
GEN=3_MEMBER=381_PSO,GEN=2_MEMBER=261_PSO,,
GEN=3_MEMBER=382_PSO,GEN=2_MEMBER=213_PSO,,
GEN=3_MEMBER=383_PSO,53,,
GEN=3_MEMBER=384_PSO,GEN=2_MEMBER=339_PSO,,
GEN=3_MEMBER=385_PSO,GEN=2_MEMBER=321_PSO,,
GEN=3_MEMBER=386_PSO,GEN=2_MEMBER=299_PSO,,
GEN=3_MEMBER=387_PSO,66,,
GEN=3_MEMBER=388_PSO,GEN=2_MEMBER=179_PSO,,
GEN=3_MEMBER=389_PSO,GEN=2_MEMBER=328_PSO,,
GEN=3_MEMBER=390_PSO,46,,
GEN=3_MEMBER=391_PSO,44,,
GEN=3_MEMBER=392_PSO,GEN=2_MEMBER=235_PSO,,
GEN=3_MEMBER=393_PSO,123,,
GEN=3_MEMBER=394_PSO,GEN=2_MEMBER=263_PSO,,
GEN=3_MEMBER=395_PSO,GEN=2_MEMBER=195_PSO,,
GEN=3_MEMBER=396_PSO,32,,
GEN=3_MEMBER=397_PSO,9,,
GEN=3_MEMBER=398_PSO,GEN=1_MEMBER=69_PSO,,
GEN=3_MEMBER=399_PSO,GEN=1_MEMBER=124_PSO,,
GEN=3_MEMBER=400_PSO,GEN=1_MEMBER=117_PSO,,
GEN=3_MEMBER=401_PSO,GEN=2_MEMBER=233_PSO,,
GEN=3_MEMBER=402_PSO,GEN=2_MEMBER=239_PSO,,
GEN=3_MEMBER=403_PSO,89,,
GEN=3_MEMBER=404_PSO,29,,
GEN=3_MEMBER=405_PSO,139,,
GEN=3_MEMBER=406_PSO,GEN=1_MEMBER=99_PSO,,
GEN=3_MEMBER=407_PSO,GEN=2_MEMBER=304_PSO,,
GEN=3_MEMBER=408_PSO,GEN=1_MEMBER=56_PSO,,
GEN=3_MEMBER=409_PSO,GEN=2_MEMBER=260_PSO,,
GEN=3_MEMBER=410_PSO,GEN=2_MEMBER=172_PSO,,
GEN=3_MEMBER=411_PSO,GEN=1_MEMBER=171_PSO,,
GEN=3_MEMBER=412_PSO,159,,
GEN=3_MEMBER=413_PSO,GEN=2_MEMBER=205_PSO,,
GEN=3_MEMBER=414_PSO,142,,
GEN=3_MEMBER=415_PSO,5,,
GEN=3_MEMBER=416_PSO,GEN=2_MEMBER=256_PSO,,
GEN=3_MEMBER=417_PSO,GEN=1_MEMBER=170_PSO,,
GEN=3_MEMBER=418_PSO,27,,
GEN=3_MEMBER=419_PSO,GEN=2_MEMBER=313_PSO,,
GEN=3_MEMBER=420_PSO,GEN=2_MEMBER=196_PSO,,
GEN=3_MEMBER=421_PSO,GEN=2_MEMBER=262_PSO,,
GEN=3_MEMBER=422_PSO,GEN=1_MEMBER=126_PSO,,
GEN=3_MEMBER=423_PSO,GEN=2_MEMBER=306_PSO,,
GEN=3_MEMBER=424_PSO,GEN=2_MEMBER=188_PSO,,
GEN=3_MEMBER=425_PSO,56,,
GEN=3_MEMBER=426_PSO,GEN=1_MEMBER=62_PSO,,
GEN=3_MEMBER=427_PSO,GEN=2_MEMBER=176_PSO,,
GEN=3_MEMBER=428_PSO,42,,
GEN=3_MEMBER=429_PSO,71,,
GEN=3_MEMBER=430_PSO,GEN=2_MEMBER=324_PSO,,
GEN=3_MEMBER=431_PSO,GEN=1_MEMBER=125_PSO,,
GEN=3_MEMBER=432_PSO,GEN=2_MEMBER=202_PSO,,
GEN=3_MEMBER=433_PSO,35,,
GEN=3_MEMBER=434_PSO,72,,
GEN=3_MEMBER=435_PSO,GEN=2_MEMBER=273_PSO,,
GEN=3_MEMBER=436_PSO,GEN=2_MEMBER=329_PSO,,
GEN=3_MEMBER=437_PSO,GEN=2_MEMBER=316_PSO,,
GEN=3_MEMBER=438_PSO,GEN=1_MEMBER=61_PSO,,
GEN=3_MEMBER=439_PSO,49,,
GEN=3_MEMBER=440_PSO,GEN=2_MEMBER=207_PSO,,
GEN=3_MEMBER=441_PSO,124,,
GEN=3_MEMBER=442_PSO,GEN=2_MEMBER=308_PSO,,
GEN=3_MEMBER=443_PSO,GEN=1_MEMBER=2_PSO,,
GEN=3_MEMBER=444_PSO,GEN=1_MEMBER=95_PSO,,
GEN=3_MEMBER=445_PSO,GEN=2_MEMBER=185_PSO,,
GEN=3_MEMBER=446_PSO,GEN=2_MEMBER=222_PSO,,
GEN=3_MEMBER=447_PSO,117,,
GEN=3_MEMBER=448_PSO,GEN=2_MEMBER=310_PSO,,
GEN=3_MEMBER=449_PSO,GEN=2_MEMBER=294_PSO,,
GEN=3_MEMBER=450_PSO,GEN=2_MEMBER=264_PSO,,
GEN=3_MEMBER=451_PSO,118,,
GEN=3_MEMBER=452_PSO,GEN=2_MEMBER=258_PSO,,
GEN=3_MEMBER=453_PSO,GEN=1_MEMBER=13_PSO,,
GEN=3_MEMBER=454_PSO,GEN=1_MEMBER=58_PSO,,
GEN=3_MEMBER=455_PSO,GEN=1_MEMBER=32_PSO,,
GEN=3_MEMBER=456_PSO,GEN=2_MEMBER=305_PSO,,
GEN=3_MEMBER=457_PSO,62,,
GEN=3_MEMBER=458_PSO,GEN=2_MEMBER=271_PSO,,
GEN=3_MEMBER=459_PSO,21,,
GEN=3_MEMBER=460_PSO,GEN=2_MEMBER=276_PSO,,
GEN=3_MEMBER=461_PSO,GEN=2_MEMBER=292_PSO,,
GEN=3_MEMBER=462_PSO,91,,
GEN=3_MEMBER=463_PSO,73,,
GEN=3_MEMBER=464_PSO,GEN=2_MEMBER=266_PSO,,
GEN=3_MEMBER=465_PSO,GEN=2_MEMBER=211_PSO,,
GEN=3_MEMBER=466_PSO,GEN=2_MEMBER=248_PSO,,
GEN=3_MEMBER=467_PSO,GEN=2_MEMBER=243_PSO,,
GEN=3_MEMBER=468_PSO,GEN=2_MEMBER=275_PSO,,
GEN=3_MEMBER=469_PSO,GEN=2_MEMBER=330_PSO,,
GEN=3_MEMBER=470_PSO,GEN=1_MEMBER=15_PSO,,
GEN=3_MEMBER=471_PSO,GEN=1_MEMBER=28_PSO,,
GEN=3_MEMBER=472_PSO,GEN=1_MEMBER=115_PSO,,
GEN=3_MEMBER=473_PSO,GEN=2_MEMBER=178_PSO,,
GEN=3_MEMBER=474_PSO,GEN=2_MEMBER=270_PSO,,
GEN=3_MEMBER=475_PSO,GEN=2_MEMBER=227_PSO,,
GEN=3_MEMBER=476_PSO,GEN=2_MEMBER=269_PSO,,
GEN=3_MEMBER=477_PSO,GEN=2_MEMBER=265_PSO,,
GEN=3_MEMBER=478_PSO,GEN=1_MEMBER=52_PSO,,
GEN=3_MEMBER=479_PSO,GEN=1_MEMBER=8_PSO,,
GEN=3_MEMBER=480_PSO,GEN=2_MEMBER=198_PSO,,
GEN=3_MEMBER=481_PSO,GEN=1_MEMBER=55_PSO,,
GEN=3_MEMBER=482_PSO,GEN=1_MEMBER=44_PSO,,
GEN=3_MEMBER=483_PSO,GEN=2_MEMBER=234_PSO,,
GEN=3_MEMBER=484_PSO,GEN=1_MEMBER=22_PSO,,
GEN=3_MEMBER=485_PSO,140,,
GEN=3_MEMBER=486_PSO,GEN=2_MEMBER=189_PSO,,
GEN=3_MEMBER=487_PSO,GEN=2_MEMBER=182_PSO,,
GEN=3_MEMBER=488_PSO,GEN=1_MEMBER=119_PSO,,
