member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,depletion_reeval_cfs,streamflow_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs
gen=46_member=5794_pso,50,110.69241741717775,110.1235704348894,2.786827430244407,5.813172569755593,2.786827430244407,5.813172569755593
gen=43_member=5487_pso,50,112.65362085740898,112.59704141874091,3.2233055046572927,5.376694495342707,3.2233055046572927,5.376694495342707
gen=30_member=3743_pso,50,101.70001094966716,98.87435427861422,1.713588991356934,6.886411008643066,1.713588991356934,6.886411008643066
gen=39_member=4904_pso,50,100.67469989672378,98.31130961541429,1.6520747085298877,6.947925291470112,1.652074708529888,6.947925291470112
gen=47_member=5956_pso,50,113.51642230234141,113.30463357982367,3.747697991113233,4.852302008886767,3.747697991113233,4.852302008886767
gen=45_member=5633_pso,50,96.22967772665474,95.30103517422398,1.4928793436690044,7.107120656330995,1.4928793436690044,7.107120656330995
gen=42_member=5374_pso,50,113.20058552538926,112.55915192767122,3.1953659668389367,5.404634033161063,3.1953659668389367,5.404634033161063
gen=48_member=6063_pso,50,112.93032608863865,111.52667253885436,2.955054540266959,5.644945459733041,2.955054540266959,5.644945459733041
gen=37_member=4733_pso,50,110.94304023871513,108.61110973443459,2.428300631150606,6.171699368849394,2.428300631150606,6.171699368849394
gen=38_member=4788_pso,50,113.26712697697172,112.6235183624327,3.423190931483538,5.176809068516462,3.423190931483538,5.176809068516462
gen=42_member=5267_pso,50,110.0059671154613,107.45552852264503,2.34734570811154,6.25265429188846,2.34734570811154,6.25265429188846
gen=46_member=5801_pso,50,113.22196912434818,113.1202239034437,3.5082774120981726,5.0917225879018275,3.5082774120981726,5.0917225879018275
gen=47_member=5934_pso,50,113.82797755135174,113.82797755135174,3.8724765346307266,4.7275234653692735,3.872476534630727,4.727523465369273
gen=40_member=5041_pso,50,102.29118560995296,99.76343136219128,1.7202388949108955,6.879761105089104,1.7202388949108955,6.879761105089104
gen=44_member=5596_pso,50,103.21540709514603,102.5820707638887,1.9064431073117016,6.693556892688298,1.9064431073117016,6.693556892688298
gen=46_member=5800_pso,50,97.65505960065083,96.39936894667757,1.5390264643071996,7.0609735356928,1.5390264643071996,7.0609735356928
90,50,116.67420011609178,116.67420011609178,4.5752215929257956,4.024778407074204,4.575221592925796,4.024778407074203
8,50,116.81868744021499,116.81868744021499,4.574370940926311,4.0256290590736885,4.574370940926311,4.0256290590736885
gen=47_member=5927_pso,50,113.3891113585374,113.32560510319023,3.797141684463503,4.802858315536497,3.797141684463503,4.802858315536497
gen=23_member=2880_pso,50,112.92684908610946,112.54441838708175,3.3864191405675586,5.213580859432441,3.3864191405675586,5.213580859432441
gen=45_member=5694_pso,50,111.0093069433019,110.26586276980991,2.8157322378759657,5.784267762124034,2.8157322378759657,5.784267762124034
gen=33_member=4157_pso,50,114.04680931292806,113.29195117004582,3.7787561435405195,4.82124385645948,3.77875614354052,4.82124385645948
gen=39_member=4884_pso,50,109.73919419703346,108.19045999864461,2.409828710957895,6.190171289042105,2.409828710957895,6.190171289042105
gen=43_member=5440_pso,50,113.26056522804235,112.78527199842394,3.4579695839817983,5.142030416018201,3.4579695839817983,5.142030416018201
gen=33_member=4206_pso,50,108.43121424251783,106.53460570377749,2.265808249269094,6.334191750730906,2.2658082492690945,6.334191750730906
gen=48_member=6130_pso,50,108.10197565175143,106.17257835942013,2.210087501864037,6.3899124981359625,2.2100875018640367,6.389912498135963
gen=40_member=5021_pso,50,114.42298858972939,112.60045387547066,3.3998009564530096,5.20019904354699,3.3998009564530096,5.20019904354699
gen=45_member=5738_pso,50,101.44176925683179,100.08957248694635,1.7694524121880564,6.830547587811943,1.7694524121880564,6.830547587811943
gen=27_member=3377_pso,50,113.5056141385198,113.33158190018415,3.7705851599344937,4.829414840065506,3.7705851599344937,4.829414840065506
gen=46_member=5826_pso,50,113.58942872082606,113.32643562664363,3.753266245388982,4.846733754611018,3.7532662453889825,4.846733754611018
gen=41_member=5141_pso,50,103.98262990240966,101.96251410763159,1.8578460473208291,6.74215395267917,1.8578460473208287,6.742153952679171
gen=29_member=3677_pso,50,107.49075901812276,106.21526603405167,2.209482384291916,6.390517615708084,2.209482384291916,6.390517615708084
gen=35_member=4441_pso,50,112.7408049492039,112.55041235853676,3.397762220429597,5.202237779570403,3.397762220429597,5.202237779570403
gen=31_member=3912_pso,50,109.43586853534921,108.11778793382103,2.3965078466113363,6.203492153388663,2.3965078466113363,6.203492153388663
gen=44_member=5517_pso,50,114.64506990106455,113.16967286457135,3.523899213122679,5.076100786877321,3.523899213122679,5.076100786877321
gen=49_member=6177_pso,50,113.24006846059348,113.18633487060403,3.5352889381503494,5.06471106184965,3.5352889381503494,5.06471106184965
gen=44_member=5611_pso,50,111.15740233106504,110.13209746911461,2.772866501417529,5.827133498582471,2.7728665014175293,5.82713349858247
gen=35_member=4426_pso,50,112.00787006888845,112.00787006888845,3.0730307307347253,5.526969269265274,3.0730307307347253,5.526969269265274
gen=25_member=3126_pso,50,110.7456458264628,109.82082187647725,2.6834397987683913,5.916560201231608,2.683439798768392,5.916560201231608
gen=36_member=4525_pso,50,104.19322171008152,103.08180649590791,1.9490397687069334,6.650960231293066,1.9490397687069332,6.650960231293066
gen=47_member=5916_pso,50,110.94259024453996,110.27564630500643,2.818532868585274,5.7814671314147255,2.818532868585274,5.7814671314147255
gen=37_member=4683_pso,50,108.44556761794604,108.24771035629453,2.4040735719216904,6.195926428078309,2.4040735719216904,6.195926428078309
gen=30_member=3767_pso,50,112.62120985927325,111.94017644161329,3.058348754867139,5.541651245132861,3.058348754867139,5.541651245132861
gen=41_member=5185_pso,50,108.02841432727222,105.72719791278043,2.1436331674183515,6.456366832581648,2.1436331674183515,6.456366832581648
gen=40_member=5102_pso,50,113.76569959363228,113.76569959363228,3.86876658649965,4.73123341350035,3.8687665864996497,4.73123341350035
gen=40_member=5107_pso,50,113.2918564342654,112.80548479904043,3.4580474469855527,5.1419525530144465,3.4580474469855527,5.1419525530144465
gen=36_member=4597_pso,50,113.75666201895073,112.60748481932349,3.2347724208618747,5.365227579138125,3.234772420861874,5.365227579138125
gen=43_member=5401_pso,50,112.31383278235177,111.84259153558438,3.0627401194653223,5.537259880534677,3.0627401194653223,5.537259880534677
gen=34_member=4241_pso,50,114.4614280237375,113.14276330565143,3.5133312603201694,5.08666873967983,3.5133312603201694,5.08666873967983
gen=41_member=5136_pso,50,97.87988049441658,97.16210146826178,1.5711927708094908,7.028807229190509,1.5711927708094906,7.028807229190509
gen=30_member=3730_pso,50,113.79520213225304,113.21681184879121,3.5464295533727976,5.053570446627202,3.5464295533727976,5.053570446627202
gen=26_member=3274_pso,50,112.82445245292094,112.07927088773285,3.143088417496115,5.456911582503885,3.143088417496115,5.456911582503885
gen=27_member=3397_pso,50,113.58781394206393,112.63178913719814,3.2398421599852165,5.360157840014783,3.2398421599852165,5.360157840014783
gen=35_member=4358_pso,50,113.86524662813433,113.64986756608504,3.8641480028767226,4.735851997123277,3.8641480028767226,4.735851997123277
gen=39_member=4886_pso,50,112.49553281816937,112.16405433851398,3.1445598015020697,5.45544019849793,3.1445598015020697,5.45544019849793
