member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=33_member=5559_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.1440244,32.1440689013816,110.7565981013816,2.27771,1.9499222216352274,6.650077778364772
gen=28_member=4728_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,25.063886,25.063855919912235,103.67638511991223,1.21593,0.9925062326986476,7.607493767301352
gen=30_member=4999_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.9879172,33.98794532305361,112.60047452305362,2.78942,2.410485649247213,6.189514350752787
gen=47_member=7949_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.069014399999997,31.068968509771572,109.68149770977158,1.99378,1.6935376361044856,6.906462363895514
gen=37_member=6216_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.7610332,34.76111558406628,113.37364478406629,3.104,2.700765160176882,5.899234839823118
gen=35_member=5892_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.624976,33.6250096550061,112.23753885500611,2.6693,2.3056922714416834,6.294307728558316
gen=47_member=7933_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,26.4996092,26.49956968298791,105.11209888298791,1.3367,1.1005348962938415,7.499465103706158
gen=42_member=7127_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.2072220608230606,6.3927779391769395
gen=46_member=7815_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,30.2096748,30.209600453547942,108.82212965354798,1.82093,1.5388011788833447,7.061198821116655
gen=41_member=6988_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.23650555771788,7.36349444228212
gen=39_member=6630_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.2866164,32.28667995166453,110.89920915166454,2.28023,1.9575450298323804,6.642454970167619
gen=46_member=7750_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.3573932,33.35737322320111,111.9699024232011,2.61481,2.252975441402538,6.347024558597462
gen=47_member=8066_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.1452896,36.14526258672567,114.75779178672568,3.76811,3.314639399113771,5.285360600886229
gen=49_member=8375_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.014504,33.01442462041577,111.62695382041578,2.48535,2.141347762565838,6.458652237434162
gen=48_member=8129_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.633444399999995,36.63353389800296,115.24606309800296,4.0627,3.5925120793546172,5.007487920645382
gen=39_member=6585_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.7828676,34.78292178056862,113.39545098056861,3.109,2.706124066690831,5.893875933309168
gen=47_member=8011_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,35.1213008,35.12122980345115,113.73375900345114,3.26403,2.8420793041513006,5.757920695848699
gen=40_member=6726_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.242575600000002,31.242517549639818,109.85504674963983,2.03707,1.7324610427485407,6.867538957251459
gen=44_member=7543_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,35.1870268,35.18705597340057,113.79958517340057,3.29833,2.8724020152786838,5.727597984721315
gen=43_member=7287_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,2.316900399747439,6.2830996002525605
gen=41_member=6982_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.2787468,36.278668778733376,114.89119797873339,3.84028,3.3806243020106392,5.21937569798936
gen=33_member=5577_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.0012852,34.00137781832889,112.6139070183289,2.80281,2.4203860908189925,6.179613909181008
gen=48_member=8183_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.7057788,34.70587203703935,113.31840123703935,3.0773,2.678054498016501,5.921945501983499
gen=48_member=8234_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,23.7818948,23.781937390842728,102.39446659084273,1.1268,0.9179882903643193,7.68201170963568
